理学院报告厅（郑裕彤讲堂）,116.32534897124,40.010640782853,116.32535653951,40.010510574758,116.32553721383,40.010505715947,116.32551710032,40.01064585912,
医学科学楼,116.32381685746,40.011249135304,116.32389038503,40.01047565997,116.32411867861,40.009801316809,116.32471993924,40.009828179484,116.32472621164,40.009736144094,116.32491555359,40.009745569449,116.32490384437,40.009979090933,116.32445721632,40.00996931885,116.32437811995,40.010482691422,116.32486629361,40.010516828637,116.32478025089,40.011331987445,
气象台,116.32562580018,40.010125573784,116.32551088829,40.010059530096,116.32564022455,40.009988528315,116.32575040021,40.010056925605,
校医院,116.32446604127,40.008872512307,116.32456233868,40.008331084923,116.32516553675,40.008353844333,116.32512652608,40.008905749377,
明斋（社会科学学院）,116.32839017289,40.011991883274,116.32839298329,40.011773058923,116.32854500186,40.011688477026,116.3292837844,40.01173379337,116.32941654952,40.011825425935,116.32940102138,40.012048183825,116.32924196193,40.012036266758,116.32925376009,40.011835998276,116.32854924192,40.011798755187,116.32850852553,40.01199546276,
善斋（马克思主义学院）,116.32741389132,40.011733161132,116.32744706346,40.011613796661,116.32813415768,40.011658885447,116.3281141399,40.011770870472,
平斋,116.32736574412,40.012133508862,116.3274198996,40.011865745968,116.32809015113,40.011905069003,116.32806639529,40.012171471258,
北区浴室,116.32952540591,40.013559678931,116.33022722219,40.013588164096,116.33025890646,40.013897215414,116.32949773449,40.013866596096,
观畴园 清青餐厅 学生会 研究生会,116.32841545595,40.012782891798,116.32846528807,40.012287732967,116.32921740061,40.012315664241,116.32918683306,40.012794340853,
十七宿舍,116.3298024666,40.013099756531,116.3298533112,40.012735849189,116.32997767098,40.012755087967,116.32992173689,40.013134035146,
十六宿舍,116.32897703668,40.013242702376,116.32901039589,40.013110656198,116.32984500204,40.013148079661,116.32983633514,40.013309374547,
十八宿舍,116.32856120142,40.013197396707,116.32860481936,40.013086932068,116.32897599759,40.013117298663,116.32892605052,40.01323527327,
十五宿舍,116.32769207968,40.013167127234,116.32772737567,40.01304933644,116.3285631138,40.013079749712,116.32848252063,40.013217736704,
十四宿舍,116.32763499108,40.012987908878,116.32767616358,40.012629802561,116.3277895893,40.012642876199,116.32774633178,40.012981003435,
化学馆,116.32563231211,40.01170135191,116.32565313357,40.011531230559,116.32651038221,40.011559256005,116.3264899691,40.011730412987,
化学新馆（何添楼）,116.32664584922,40.01213747274,116.32669386417,40.011605822696,116.32706988907,40.011632619186,116.32704093055,40.012162813241,
人环楼,116.32605898601,40.01228302606,116.32646786726,40.012278607424,116.32639343402,40.013089630492,116.3261424368,40.013107988854,116.32599586316,40.012448940561,
生物馆,116.32590293587,40.009047623427,116.32592286821,40.008859760635,116.32670362855,40.008900425516,116.32667919306,40.009069833992,
理科楼（蒙民伟理科楼）,116.32525279717,40.011132523948,116.3252970699,40.010836490621,116.32552176931,40.010831935435,116.32558491828,40.0106661962,116.32659225871,40.010704026289,116.3266416504,40.010391910074,116.32704952041,40.010408486267,116.32701606337,40.011202390055,116.32660223407,40.011180888078,116.32657312915,40.010860228534,116.32572826339,40.010821522062,116.3256467493,40.011122703638,
西区体育馆,116.3273767704,40.010903936339,116.32741191973,40.010521825759,116.32803772208,40.010546077518,116.32807243023,40.010417306724,116.32828173107,40.010406976141,116.32819714012,40.011059937295,116.32799594338,40.011037752836,116.32800293088,40.01092945276,
西大操场,116.32846333876,40.009993124025,116.32949664967,40.010059391944,116.32937521783,40.011590245258,116.32831476753,40.011524468553,
学生文化活动中心（蒙民伟楼）,116.32765322801,40.009644142424,116.32828204855,40.009713542021,116.32823329513,40.010114390101,116.32762496786,40.010069505016,
生命科学馆（伟伦馆）,116.32667849501,40.010202824759,116.32669578221,40.009972522169,116.3265429776,40.009970294612,116.32660004219,40.009590109504,116.32718844547,40.009610065607,116.32712320294,40.010231300552,
荷二楼,116.32700546906,40.009048450131,116.32701298178,40.008921643266,116.32759448022,40.008954401744,116.32758150851,40.009084487145,
工会,116.32935715233,40.006246075324,116.3293505684,40.006257998042,116.32936682563,40.006069392646,116.32964029082,40.006213999788,
古月堂,116.32828941681,40.00802710026,116.32873095674,40.008049381865,116.32867819648,40.008840092104,116.32818021254,40.008822101265,
工字厅,116.32873693018,40.008870531994,116.32881838797,40.00804555216,116.33013265805,40.008084811704,116.33010300234,40.008905687224,
水木清华,116.32833156591,40.009298802096,116.32841761863,40.008909600184,116.32985109203,40.008935608087,116.3298348356,40.009307108168,
荷园餐厅 工会俱乐部,116.32742666768,40.008875833216,116.32744391916,40.008378061167,116.32788365206,40.00837874961,116.32786050571,40.008894020859,
西湖游泳池,116.32584862713,40.005844817422,116.32676953406,40.00587939858,116.32675777852,40.006031384958,116.32727606981,40.006084725086,116.32724191987,40.00670386278,116.32656802054,40.006697365047,116.3266031196,40.006493180513,116.32609105686,40.006449863581,116.32578594251,40.00628907728,
强斋 静斋 熙春园餐厅,116.32791513853,40.00743190485,116.32782558306,40.007436213467,116.32792664163,40.006711525431,116.32810263302,40.006741540987,116.32820764321,40.006944311651,116.32801920309,40.008119259539,116.32781998595,40.008134327767,
问讯处,116.32850409141,40.006096510668,116.32884087569,40.006053666934,116.32892044221,40.006110409105,116.32889780235,40.006182082795,116.32877368209,40.00626649159,116.32848875203,40.00619737114,
甲所,116.32859911235,40.006859534687,116.32863770481,40.006466795771,116.32914744305,40.006387708626,116.32942997928,40.006489088427,116.32943355149,40.006752948356,116.3291571856,40.00690431285,
丙所,116.32982289594,40.006942155946,116.3298215737,40.006583789129,116.33024508729,40.006582852603,116.33025210011,40.006957831243,
